流水序,教育部字號,Unicode,常用字,
856,A00856,5938,夸,夸
857,A00857,593e,夾,夹
858,A00858,5949,奉,奉
859,A00859,5947,奇,奇
860,A00860,5948,奈,奈
861,A00861,5944,奄,奄
862,A00862,5954,奔,奔
863,A00863,5955,奕,奕
864,A00864,5951,契,契
865,A00865,594f,奏,奏
866,A00866,594e,奎,奎
867,A00867,5950,奐,奂
868,A00868,5957,套,套
869,A00869,5958,奘,奘
870,A00870,595a,奚,奚
871,A00871,5962,奢,奢
872,A00872,5960,奠,奠
873,A00873,5967,奧,奥
874,A00874,596a,奪,夺
875,A00875,5969,奩,奁
876,A00876,596e,奮,奋
877,A00877,5973,女,女
878,A00878,5974,奴,奴
879,A00879,5976,奶,奶
880,A00880,5984,妄,妄
881,A00881,5978,奸,奸
882,A00882,5983,妃,妃
883,A00883,597d,好,好
884,A00884,5979,她,她
885,A00885,5982,如,如
886,A00886,5981,妁,妁
887,A00887,599d,妝,妆
888,A00888,5992,妒,妒
889,A00889,59a8,妨,妨
890,A00890,599e,妞,妞
891,A00891,59a3,妣,妣
892,A00892,5999,妙,妙
893,A00893,5996,妖,妖
894,A00894,598d,妍,妍
895,A00895,59a4,妤,妤
896,A00896,5993,妓,妓
897,A00897,598a,妊,妊
898,A00898,59a5,妥,妥
899,A00899,59be,妾,妾
900,A00900,59bb,妻,妻
901,A00901,59d4,委,委
902,A00902,59b9,妹,妹
903,A00903,59ae,妮,妮
904,A00904,59d1,姑,姑
905,A00905,59c6,姆,姆
906,A00906,59d0,姐,姐
907,A00907,59cd,姍,姗
908,A00908,59cb,始,始
909,A00909,59d3,姓,姓
910,A00910,59ca,姊,姊
911,A00911,59af,妯,妯
912,A00912,59b3,妳,妳
913,A00913,59d2,姒,姒
914,A00914,59dc,姜,姜
915,A00915,59d8,姘,姘
916,A00916,59ff,姿,姿
917,A00917,59e3,姣,姣
918,A00918,59e8,姨,姨
